[05/Oct/2024:02:16:23 +0000] 200 - GET http 20.81.47.192 "/" [Client 107.197.155.85] [Length 568] [Gzip 1.86] "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0" "http://20.81.47.192/login"
[05/Oct/2024:02:17:07 +0000] 200 - GET http thomasgroupusa.com "/?rnd=1728094627628" [Client 35.162.140.124] [Length 568] [Gzip 1.86] "Godaddy Uptime Monitor" "-"
[05/Oct/2024:02:17:27 +0000] 400 - GET http speed.cloudflare.com "/cdn-cgi/trace" [Client 152.42.247.210] [Length 252] [Gzip -] "Mozilla/5.0" "-"
[05/Oct/2024:02:17:27 +0000] 404 - GET http speed.cloudflare.com "/cdn-cgi/trace" [Client 152.42.247.210] [Length 122] [Gzip 1.35] "Mozilla/5.0" "-"
[05/Oct/2024:02:17:33 +0000] 400 - - http localhost-nginx-proxy-manager "-" [Client 152.42.247.210] [Length 154] [Gzip -] "-" "-"
[05/Oct/2024:02:23:34 +0000] 404 - GET http thomasgroupusa.com "/wp-content/plugins/item.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:34 +0000] 404 - GET http thomasgroupusa.com "/ring.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:34 +0000] 404 - GET http thomasgroupusa.com "/wp-content/upgrade-temp-backup" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:34 +0000] 404 - GET http thomasgroupusa.com "/ALFA_DATA/alfacgiapi/ws.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:34 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/Text/index.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:34 +0000] 404 - GET http thomasgroupusa.com "/includes/moon.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
