2024/10/05 02:16:23 [warn] 184#184: 512 worker_connections are not enough, reusing connections
2024/10/05 02:16:23 [alert] 184#184: 512 worker_connections are not enough
2024/10/05 02:16:23 [error] 183#183: *874 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost-nginx-proxy-manager, request: "GET /favicon.ico HTTP/1.1", upstream: "http://127.0.0.1:80/favicon.ico", host: "20.81.47.192", referrer: "http://20.81.47.192/"
2024/10/05 02:17:27 [error] 184#184: *878 open() "/var/www/html/cdn-cgi/trace" failed (2: No such file or directory), client: 152.42.247.210, server: localhost-nginx-proxy-manager, request: "GET /cdn-cgi/trace HTTP/1.1", host: "speed.cloudflare.com"
2024/10/05 02:23:34 [error] 184#184: *883 open() "/var/www/html/wp-content/plugins/item.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/plugins/item.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:34 [error] 184#184: *883 open() "/var/www/html/ring.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /ring.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:34 [error] 184#184: *883 open() "/var/www/html/wp-content/upgrade-temp-backup" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/upgrade-temp-backup HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:34 [error] 184#184: *883 open() "/var/www/html/ALFA_DATA/alfacgiapi/ws.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /ALFA_DATA/alfacgiapi/ws.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:34 [error] 184#184: *883 open() "/var/www/html/wp-includes/Text/index.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-includes/Text/index.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:34 [error] 184#184: *883 open() "/var/www/html/includes/moon.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /includes/moon.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:35 [error] 184#184: *883 open() "/var/www/html/priv8.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /priv8.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:35 [error] 184#184: *883 open() "/var/www/html/.seo.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /.seo.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:35 [error] 184#184: *883 open() "/var/www/html/.wp-cli/admin.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /.wp-cli/admin.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 02:23:35 [error] 184#184: *883 open() "/var/www/html/wp-content/plugins/WordPressCore/include.php" failed (2: No such file or directory), client: 52.169.8.167, server: localhost-nginx-proxy-manager, request: "GET /wp-content/plugins/WordPressCore/include.php HTTP/1.1", host: "thomasgroupusa.com"
