2024/10/05 05:30:32 [error] 202#202: *39 html_site could not be resolved (2: Server failure), client: 107.197.155.85, server: thomasgroupusa.com, request: "GET / HTTP/1.1", host: "thomasgroupusa.com", referrer: "http://thomasgroupusa.com:81/"
2024/10/05 05:35:44 [error] 246#246: *141 html_site could not be resolved (2: Server failure), client: 107.197.155.85, server: thomasgroupusa.com, request: "GET / HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:02:58 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/install.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/install.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:00 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/file.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/file.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:03 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/mariju.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/mariju.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:06 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/gif.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/gif.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:06 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/upfile.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/upfile.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:07 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/autoload_classmap.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/autoload_classmap.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:08 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/admin.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/admin.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:08 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/index.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/index.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:08 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/fond.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/fond.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:09 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/index1.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/index1.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:10 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/LA.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/LA.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:11 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/themes.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/themes.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:13 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/worksec.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/worksec.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:16 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/wso112233.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/wso112233.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:17 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/radio.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/radio.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:03:18 [error] 203#203: *153 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/shimo.php" failed (2: No such file or directory), client: 13.94.102.185, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/shimo.php HTTP/1.1", host: "thomasgroupusa.com"
2024/10/05 06:23:38 [warn] 182#182: *28 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/00/0000000001 while reading upstream, client: 104.28.132.148, server: thomasgroupusa.com, request: "GET /assets/js/jquery.min.js HTTP/1.1", upstream: "http://192.168.2.20:80/assets/js/jquery.min.js", host: "thomasgroupusa.com", referrer: "http://thomasgroupusa.com/"
2024/10/05 07:20:00 [error] 182#182: *302 open() "/data/letsencrypt-acme-challenge/.well-known/acme-challenge/iR7SzrsOUEP.php" failed (2: No such file or directory), client: 52.178.220.65, server: thomasgroupusa.com, request: "GET /.well-known/acme-challenge/iR7SzrsOUEP.php HTTP/1.1", host: "thomasgroupusa.com"
